logz logzerr logvol nlive logl logwt insert_order
-3.674415519406333594e+13 3.348917744828552246e+12 -1.350000000000000366e-01 2.000000000000000000e+02 -3.089026866997483203e+13 -3.089026866998026953e+13 1.040000000000000036e+00
-3.089026866998026953e+13 4.657176986516791016e+12 -1.400000000000000411e-01 2.000000000000000000e+02 -2.956785415680195312e+13 -2.956785415680739453e+13 5.999999999999999778e-01
-2.956785415680739453e+13 5.590930871023090820e+12 -1.450000000000000455e-01 2.000000000000000000e+02 -2.935304697402356250e+13 -2.935304697402900781e+13 1.100000000000000006e-01
-2.935304697402900781e+13 5.936956896304556274e+10 -1.500000000000000500e-01 2.000000000000000000e+02 -2.375869678575904297e+13 -2.375869678576449219e+13 7.500000000000000000e-01
-2.375869678576449219e+13 2.773774780109039062e+12 -1.550000000000000544e-01 2.000000000000000000e+02 -2.337958572844927344e+13 -2.337958572845473047e+13 1.270000000000000018e+00
-2.337958572845473047e+13 2.202275413026439941e+12 -1.600000000000000588e-01 2.000000000000000000e+02 -2.221223028496633984e+13 -2.221223028497180078e+13 1.679999999999999938e+00
-2.221223028497180078e+13 1.932585923051290283e+12 -1.650000000000000633e-01 2.000000000000000000e+02 -2.029407099323543750e+13 -2.029407099324090234e+13 7.000000000000000666e-02
-2.029407099324090234e+13 1.102758741089250977e+12 -1.700000000000000677e-01 2.000000000000000000e+02 -1.994475327620089453e+13 -1.994475327620636719e+13 2.700000000000000178e-01
-1.994475327620636719e+13 6.226519761950052490e+11 -1.750000000000000722e-01 2.000000000000000000e+02 -1.825468127955059375e+13 -1.825468127955607031e+13 1.300000000000000044e+00
-1.825468127955607031e+13 8.723351412541291504e+11 -1.800000000000000766e-01 2.000000000000000000e+02 -1.694489662162252148e+13 -1.694489662162800195e+13 1.540000000000000036e+00
-1.694489662162800195e+13 1.236365067455483887e+12 -1.850000000000000810e-01 2.000000000000000000e+02 -1.686720692076074805e+13 -1.686720692076623438e+13 3.800000000000000044e-01
-1.686720692076623438e+13 1.021942691413772461e+12 -1.900000000000000855e-01 2.000000000000000000e+02 -1.637609257285086328e+13 -1.637609257285635352e+13 3.099999999999999978e-01
-1.637609257285635352e+13 1.631760643242234243e+00 -1.950000000000000899e-01 2.000000000000000000e+02 -1.468866368176803906e+13 -1.468866368177353516e+13 1.120000000000000107e+00
-1.468866368177353516e+13 7.306781433791223145e+11 -2.000000000000000944e-01 2.000000000000000000e+02 -1.461840532708415625e+13 -1.461840532708965625e+13 5.500000000000000444e-01
-1.461840532708965625e+13 3.312010602123809814e+10 -2.050000000000000988e-01 2.000000000000000000e+02 -1.435199407160141016e+13 -1.435199407160691602e+13 1.179999999999999938e+00
-1.435199407160691602e+13 1.255874702243687439e+11 -2.100000000000001033e-01 2.000000000000000000e+02 -1.267026917320489258e+13 -1.267026917321040430e+13 1.739999999999999991e+00
-1.267026917321040430e+13 5.066613701123245239e+11 -2.150000000000001077e-01 2.000000000000000000e+02 -1.265555653532008008e+13 -1.265555653532559570e+13 2.300000000000000100e-01
-1.265555653532559570e+13 8.653617431206728516e+11 -2.200000000000001121e-01 2.000000000000000000e+02 -1.258333408407841602e+13 -1.258333408408393750e+13 1.879999999999999893e+00
-1.258333408408393750e+13 7.108665785159294434e+11 -2.250000000000001166e-01 2.000000000000000000e+02 -1.221179941445598242e+13 -1.221179941446150781e+13 1.700000000000000122e-01
-1.221179941446150781e+13 1.751431228903403320e+11 -2.300000000000001210e-01 2.000000000000000000e+02 -1.180934792774216211e+13 -1.180934792774769336e+13 1.800000000000000044e+00
