nH log(R_in*) T_p R_ratio
4.542002939091513425e-02 7.750869752794750767e+00 2.372061759981706564e+05 9.182082747119544308e+00
4.516610125926313196e-02 7.732148659469786800e+00 2.389075294438647688e+05 9.069925458244934902e+00
4.403600683348944667e-02 7.732640558334652248e+00 2.387532962128049112e+05 8.688111024537047200e+00
3.886955647302359207e-02 7.681103168212855437e+00 2.415775203879490728e+05 1.046491196487888331e+01
3.663727035812684718e-02 7.649745364237166889e+00 2.440845680687148415e+05 1.060966487358486532e+01
4.238024540465500090e-02 7.723081286544943858e+00 2.390420461331477854e+05 9.005609170048591849e+00
4.069222847431615275e-02 7.689604198164061266e+00 2.415157899352405220e+05 1.023514479070822603e+01
4.630491445653531213e-02 7.789954592697546865e+00 2.340580406896879431e+05 7.028974495524122013e+00
3.865457143491081438e-02 7.702775918642736031e+00 2.398575500865057402e+05 9.892244878446556200e+00
4.611885174038650448e-02 7.752547576017217779e+00 2.370556843848038407e+05 8.673191325004600216e+00
4.243630475060670981e-02 7.733829354113318288e+00 2.378928762761455437e+05 8.868066890873274488e+00
4.864740989481533551e-02 7.801678839319039938e+00 2.339630095752325724e+05 7.536850479992370566e+00
3.751575252568122021e-02 7.697453141936560606e+00 2.399645297351296758e+05 9.601785838104325066e+00
4.368024408729501151e-02 7.731402005065361571e+00 2.385227340118823922e+05 8.955321180507505474e+00
4.585696954420806493e-02 7.744764111636728288e+00 2.377908330535211426e+05 9.152290695421037015e+00
3.917689710835062927e-02 7.682184242379189065e+00 2.416651244163152587e+05 9.809414067519913516e+00
4.521992069478453918e-02 7.753634608196151135e+00 2.368321447558798245e+05 8.622274098552814792e+00
4.268814992584805956e-02 7.711844844383935360e+00 2.398536141806747182e+05 9.999696738632213311e+00
5.057638363226855949e-02 7.781601193907282443e+00 2.361196419202636462e+05 7.949574328497418740e+00
4.372216937605398479e-02 7.723893640252462056e+00 2.390526589168057253e+05 8.648361308404798109e+00
4.340337917613115715e-02 7.720092165933282402e+00 2.393684493804328376e+05 9.708159097152300632e+00
3.698900020113143894e-02 7.680764376231883794e+00 2.409459923973047407e+05 9.434159264645401777e+00
5.771965610966520166e-02 7.862019514177698731e+00 2.312694992285008193e+05 6.962071182425056293e+00
4.368449804055502678e-02 7.730748562025201664e+00 2.386783376561965270e+05 8.708333808220263705e+00
4.045402599852505887e-02 7.720548429705673676e+00 2.386919530061764817e+05 9.251887286150862977e+00
4.450615353802785806e-02 7.744646120361027286e+00 2.376636345762834535e+05 8.705531341471248297e+00
4.647672311048134386e-02 7.748956709558012079e+00 2.375900325657933427e+05 9.224345839343925491e+00
3.814751884486351774e-02 7.679876851087965584e+00 2.415462810776427796e+05 9.847557621652271109e+00
4.050558626822600705e-02 7.689000538928204342e+00 2.415558979089416098e+05 9.728756984873724534e+00
