weight logl nH log(R_in*) T_p R_ratio
0.000000000000000000e+00 -1.128943553670078516e+13 5.630863576615106891e-02 7.783836587003007068e+00 7.660431075878986157e+05 9.558522733176644692e+00
0.000000000000000000e+00 -1.070888577216546875e+13 3.776688200521929883e-02 7.876227154683576259e+00 7.025263545803410234e+05 5.914311685087329629e+00
0.000000000000000000e+00 -1.063599548275885742e+13 3.230193002376707812e-02 7.528675481041799955e+00 9.187698091569502139e+05 2.512113204224162644e+01
0.000000000000000000e+00 -1.055536853794810156e+13 2.359412680532687115e-02 7.738053145243431352e+00 7.683017357067913981e+05 1.691934007076919144e+01
0.000000000000000000e+00 -9.978349671977419922e+12 8.355227388881912576e-02 7.793510497921595892e+00 7.689775381861072965e+05 2.918199096867761710e+01
0.000000000000000000e+00 -9.839872973774326172e+12 8.868806913831678296e-02 7.702814212289155194e+00 8.277930245120761683e+05 1.374798077998518409e+01
0.000000000000000000e+00 -8.214807247152948242e+12 3.535205181959676091e-02 7.575926512521063749e+00 8.643477142574652098e+05 1.874787963165732663e+01
0.000000000000000000e+00 -6.960545317556628906e+12 3.263235940636815408e-02 7.584046790346286038e+00 8.440093179446256254e+05 1.287886951569551108e+01
0.000000000000000000e+00 -6.883861592274038086e+12 8.113532972340914418e-02 7.544097266079373476e+00 9.081613501828606240e+05 2.200535666174762639e+01
0.000000000000000000e+00 -6.657049883522595703e+12 8.410817862942289447e-02 7.627584961454526358e+00 8.469045494038360193e+05 9.848238444098466715e+00
0.000000000000000000e+00 -6.601101664613651367e+12 8.816988817064223827e-02 7.631058142628655894e+00 8.466051829678412760e+05 2.626552614472344160e+01
0.000000000000000000e+00 -6.150936279581228516e+12 6.412641024123726108e-02 7.998822404350981685e+00 6.305031880534752272e+05 1.503228396803351785e+01
0.000000000000000000e+00 -5.307029354594984375e+12 8.353067064335979730e-02 7.505126671573397523e+00 9.183621479778189678e+05 2.696390512246968640e+01
0.000000000000000000e+00 -4.679178070788515625e+12 8.813241059913361208e-02 7.665766422269854274e+00 7.993500228775088908e+05 2.051407891450606513e+01
0.000000000000000000e+00 -4.636778289714508789e+12 4.439357799230489454e-02 7.818762648226758927e+00 6.902209347289326834e+05 5.145259017769835630e+00
0.000000000000000000e+00 -4.462764962387892578e+12 8.888140029805360887e-02 7.750995723278173877e+00 7.464738990336839342e+05 2.153829829908134386e+01
0.000000000000000000e+00 -4.287015093773944336e+12 3.853840206866399054e-02 7.817629036141011234e+00 6.819137261414909735e+05 2.726201051150139421e+01
0.000000000000000000e+00 -4.249498901617926270e+12 4.682482094354160906e-02 7.930493840173241438e+00 6.343062647484461777e+05 2.992260619863216675e+01
0.000000000000000000e+00 -3.680599327749468262e+12 2.255780786452800390e-02 7.548544422488258299e+00 8.143270147185955429e+05 2.108429255286142023e+01
0.000000000000000000e+00 -3.638720133479000000e+12 3.713088650518146794e-02 7.600701458417682410e+00 7.926636708376734750e+05 5.565159022858654936e+00
0.000000000000000000e+00 -3.515976497823485352e+12 7.980777435334757142e-02 7.777509711880519205e+00 7.133139575069287093e+05 9.852753960306866787e+00
0.000000000000000000e+00 -3.507472899737987793e+12 3.462668663699121352e-02 7.711750091217308700e+00 7.224914219683711417e+05 1.390782638389721271e+01
0.000000000000000000e+00 -3.286766255741847168e+12 6.325176495202269877e-02 7.741591163251144714e+00 7.192852865601929370e+05 7.620893422759049685e+00
0.000000000000000000e+00 -3.258333999363787598e+12 5.904089726651620684e-02 7.902007830168485292e+00 6.402693982331679435e+05 6.160763550128507404e+00
