weight logl nH log(R_in*) T_p R_ratio
0.000000000000000000e+00 -4.904843577769104688e+13 7.081409808223578795e-01 7.516413654998025384e-01 8.049412289284132438e-01 3.920679128966679805e-01
0.000000000000000000e+00 -4.329440927286050781e+13 3.611609678314345873e-01 3.761592282363206419e-01 9.312698199861051407e-01 9.094231605864863122e-01
0.000000000000000000e+00 -3.817587252489822656e+13 9.999595770879641243e-01 6.627195114583213087e-01 8.370512112798739190e-01 5.665957057010240216e-01
0.000000000000000000e+00 -3.674415519405790625e+13 3.429408276169252368e-01 5.530445066792951669e-01 8.372475819015586795e-01 2.520196553721640864e-01
0.000000000000000000e+00 -3.089026866997483203e+13 3.247689611525395037e-02 5.345373939102706640e-01 8.105799474482464628e-01 4.234915305599740165e-01
0.000000000000000000e+00 -2.956785415680195312e+13 8.902172278449452802e-01 6.969569835939184443e-01 7.964864218909196714e-01 7.503375775867902053e-01
0.000000000000000000e+00 -2.935304697402356250e+13 7.328886622426334929e-01 6.922051488808842468e-01 7.885998516666369307e-01 7.636941449715547447e-01
0.000000000000000000e+00 -2.375869678575904297e+13 1.275362162222603013e-01 3.852388656399139411e-01 8.551825579351729489e-01 4.306387625556382659e-01
0.000000000000000000e+00 -2.337958572844927344e+13 8.945447202881628979e-02 2.810214976243179397e-01 8.965554167748347458e-01 4.562506367687191311e-01
0.000000000000000000e+00 -2.221223028496633984e+13 3.814218901172701237e-01 8.286833841882672580e-01 7.028707479516416168e-01 5.676952920596552987e-01
0.000000000000000000e+00 -2.029407099323543750e+13 1.967288165443168424e-01 5.331020882634768254e-01 7.878493614275836610e-01 7.211702416740571886e-01
0.000000000000000000e+00 -1.994475327620089453e+13 3.016632661410234562e-01 2.097444576003697492e-01 9.295225115222494061e-01 7.400246679229183222e-01
0.000000000000000000e+00 -1.825468127955059375e+13 3.307435522867731015e-01 1.256360736860216987e-01 9.636614779706066392e-01 6.161715634192175273e-01
0.000000000000000000e+00 -1.694489662162252148e+13 5.478025591103335978e-01 3.125772669635621392e-01 8.844168321519111364e-01 5.037220828264612482e-01
0.000000000000000000e+00 -1.686720692076074805e+13 4.477046642487959582e-01 9.770427061047184392e-01 6.450536885736937176e-01 4.238985536768397067e-01
0.000000000000000000e+00 -1.637609257285086328e+13 1.028336293034923798e-01 3.076046713702295099e-01 8.536910386316538535e-01 4.450958446730109985e-01
0.000000000000000000e+00 -1.468866368176803906e+13 1.137190715457337964e-01 1.852074656821890430e-01 8.979564905078586401e-01 8.069549492930601087e-01
0.000000000000000000e+00 -1.461840532708415625e+13 3.602356890500101327e-01 3.011073848918262019e-01 8.635547737610771435e-01 8.361151073806818435e-01
0.000000000000000000e+00 -1.435199407160141016e+13 8.121944917995005397e-03 7.613967291999563791e-01 6.765986316683386681e-01 2.777578520230882253e-01
0.000000000000000000e+00 -1.267026917320489258e+13 7.829941339041153192e-01 9.402146871275938178e-01 6.547220641573824329e-01 3.793379645604688655e-02
0.000000000000000000e+00 -1.265555653532008008e+13 1.012514013079610642e-01 1.461185522421328820e-01 9.007678006448469610e-01 5.358416603000910605e-01
0.000000000000000000e+00 -1.258333408407841602e+13 7.981146704882676746e-01 8.260280934111555728e-01 6.878793201095574350e-01 3.373809470650093179e-01
0.000000000000000000e+00 -1.221179941445598242e+13 1.465648197344759929e-02 6.600456145902290350e-01 6.978381729631717434e-01 5.619739683379403328e-01
0.000000000000000000e+00 -1.180934792774216211e+13 9.183368089900301179e-02 4.495515253510145026e-01 7.709923579014272832e-01 9.619284989864601565e-01
0.000000000000000000e+00 -1.179404802044260547e+13 8.869066664953443313e-01 5.884035478695626153e-02 9.943235960679736030e-01 2.779008513683596249e-01
0.000000000000000000e+00 -1.157186892314851758e+13 4.340790016749577207e-01 8.356106899520016063e-01 6.623858426931508170e-01 9.326730222434275186e-01
0.000000000000000000e+00 -1.144078867010787305e+13 8.702527896678809993e-01 2.078511323866353289e-01 9.169628261769245947e-01 8.154937346981029345e-01
0.000000000000000000e+00 -1.143351276994792188e+13 4.118514567344206956e-01 6.736101859436227635e-01 7.099071483491885548e-01 8.582973334462519199e-01
0.000000000000000000e+00 -1.128943553670078516e+13 4.538579470768884239e-01 5.865897878845718338e-01 7.400478973198874044e-01 1.823409093270658143e-01
0.000000000000000000e+00 -1.070888577216546875e+13 2.220860250652412216e-01 7.632857590146181481e-01 6.694737273114900189e-01 3.657246740349318070e-02
0.000000000000000000e+00 -1.063599548275885742e+13 1.537741252970884487e-01 9.859690566403989109e-02 9.097442323966113964e-01 8.048452816896650708e-01
0.000000000000000000e+00 -1.055536853794810156e+13 4.492658506658586681e-02 4.990294458878260508e-01 7.425574841186570740e-01 4.767736028307676399e-01
0.000000000000000000e+00 -9.978349671977419922e+12 7.944034236102390789e-01 6.050910389029174885e-01 7.433083757623414334e-01 9.672796387471046531e-01
0.000000000000000000e+00 -9.839872973774326172e+12 8.586008642289596482e-01 4.316353640431281891e-01 8.086589161245291146e-01 3.499192311994073767e-01
0.000000000000000000e+00 -8.214807247152948242e+12 1.919006477449595183e-01 1.889639972809137314e-01 8.492752380638501908e-01 5.499151852662930162e-01
0.000000000000000000e+00 -6.960545317556628906e+12 1.579044925796019294e-01 2.044939416485485051e-01 8.266770199384728679e-01 3.151547806278204300e-01
